pygame 2.0.1 (SDL 2.0.14, Python 3.9.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
Generation 1: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 2: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 3: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 4: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 5: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 6: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 7: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 8: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 9: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 10: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 11: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'U', 'D', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.7
Generation 12: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 13: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 14: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 15: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 16: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 17: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 18: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 19: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 20: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 21: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
